IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
19719;LOMO DE BELLOTA 100% IBERICO;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
19720;LOMO DE BELLOTA IBERICO;EMBUTIDOS ANTONIO Y CLARA (ANCLA);248;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
19721;JAMON DE CEBO DE CAMPO IBERICO;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;CURADOS;JAMON IBERICO;"D.O.P. JAMON DE GUIJUELO; NORMA DE CALIDAD DEL IBERICO";
19730;LOMO DE BELLOTA 100% IBERICO;EMBUTIDOS ANTONIO MARTIN MARTIN;248;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
20736;PALETA DE CEBO 100% IBERICA;EL BOTON CHARRO;1821;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
20741;LOMO DE CEBO DE CAMPO IBERICO;EL BOTON CHARRO;1821;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
20747;PALETA DE BELLOTA IBERICA;IBERICOS LA ENCINA CHARRA;1821;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
15944;JAMON DE CEBO DE CAMPO 100% IBERICO;FERMIN;1228;CHARCUTERIA;CURADOS;JAMON IBERICO;NORMA DE CALIDAD DEL IBERICO;
15948;PALETA DE BELLOTA IBERICA;FERMIN;1228;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
15950;PALETA DE BELLOTA 100% IBERICA;FERMIN;1228;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
15951;PALETA DE CEBO DE CAMPO 100% IBERICA;FERMIN;1228;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
15952;PALETA DE CEBO DE CAMPO IBERICA;FERMIN;1228;CHARCUTERIA;CURADOS;PALETA IBERICA;NORMA DE CALIDAD DEL IBERICO;
15955;LOMO DE BELLOTA 100% IBERICO;FERMIN;1228;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
15958;LOMO DE CEBO DE CAMPO IBERICO;FERMIN;1228;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
15959;LOMO DE CEBO 100% IBERICO;FERMIN;1228;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
15960;LOMO DE CEBO IBERICO;FERMIN;1228;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;NORMA DE CALIDAD DEL IBERICO;
9322;JARRETES DE CORDERO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO OVINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
16424;CARRILLERA DE CERDO IBERICO COCINADA;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO PORCINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
